ngay,ma,kn_gia_tri,kn_khoi_luong
2026-09-07,CTG,-73195799600,-2376487
2026-09-07,CTS,-1458240000,-65100
2026-09-07,DBC,-2525550000,-149000
2026-09-07,DCM,12452880000,391600
2026-09-07,DGC,925900000,19700
2026-09-07,DGW,-12528296000,-299720
2026-09-07,DIG,1345320000,121200
2026-09-07,DPM,-6405875700,-287259
2026-09-07,DXG,-42944450000,-3734300
2026-09-07,EIB,-809510000,-47900
2026-09-07,FPT,-5131712000,-70880
2026-09-07,FRT,-5871474400,-43046
2026-09-07,FTS,-311740000,-14300
2026-09-07,GAS,-13777920000,-166400
2026-09-07,GEX,-1805440000,-72800
2026-09-07,GMD,-22332979200,-290794
2026-09-07,HAH,-8278022500,-177070
2026-09-07,HCM,16439280000,622700
2026-09-07,HDB,53991197400,1974084
2026-09-07,HDG,-3396770000,-199810
2026-09-07,HPG,-3177094950,-147429
2026-09-07,HSG,-866020000,-81700
2026-09-07,IJC,-40040000,-5600
2026-09-07,KBC,6982240000,256700
2026-09-07,KDH,6697100000,386000
2026-09-07,LPB,-4493325000,-90500
2026-09-07,MBB,-32886428200,-1628041
2026-09-07,MBS,91690000,5300
2026-09-07,MCH,11457440000,80800
2026-09-07,MSB,-3488826500,-265310
2026-09-07,MSN,-3120339600,-45486
2026-09-07,MWG,-684000000,-9500
2026-09-07,NAB,-949878000,-84060
2026-09-07,NKG,789660000,73800
2026-09-07,NLG,16878450000,661900
2026-09-07,NT2,-1398780000,-68400
2026-09-07,NVL,-25838800000,-1987600
2026-09-07,OCB,-25225936750,-2461067
2026-09-07,ORS,-586360000,-42800
2026-09-07,PDR,4840485000,401700
2026-09-07,PLX,-6825778500,-194190
2026-09-07,PNJ,-21245913600,-553279
2026-09-07,POW,-3302450000,-257000
2026-09-07,PVD,984107500,53195
2026-09-07,PVS,-638538700,-17119
2026-09-07,SAB,-5386485000,-120100
2026-09-07,SHB,-43402132200,-3647238
2026-09-07,SSB,-1156680000,-64800
2026-09-07,SSI,2268063000,108780
2026-09-07,STB,-27329348000,-356780
2026-09-07,SZC,1774830000,88300
2026-09-07,TCB,-15888433000,-498070
2026-09-07,TPB,3911040000,268800
2026-09-07,VCB,-91219384000,-1572748
2026-09-07,VCI,3417750000,157500
2026-09-07,VHC,-741352500,-14175
2026-09-07,VHM,17265449500,231751
2026-09-07,VIB,-7256300000,-487000
2026-09-07,VIC,-51916480000,-211904
2026-09-07,VIX,-29064560000,-2137100
2026-09-07,VJC,6047500000,48380
2026-09-07,VND,-1787200000,-111700
2026-09-07,VNM,-25691882000,-423260
2026-09-07,VPB,33829614000,1239180
2026-09-07,VRE,42608646000,1578098
2026-09-07,VSC,7208000000,530000
2026-09-07,VTP,1911052000,36751
2026-09-08,ACB,7753977600,347712
2026-09-08,AGR,-10440000,-800
2026-09-08,ANV,-89650000,-5500
2026-09-08,BID,8201001400,226547
2026-09-08,BSI,-640010000,-22300
2026-09-08,BSR,-9624744000,-356472
2026-09-08,BVH,-1934100000,-30700
2026-09-08,CTD,274400100,4491
2026-09-08,CTG,-22337292000,-726416
2026-09-08,CTS,107040000,4800
2026-09-08,DBC,-1006423750,-60085
2026-09-08,DCM,-3227447000,-98548
2026-09-08,DGC,406285000,8900
2026-09-08,DGW,1296087200,30896
2026-09-08,DIG,-5126250500,-500122
2026-09-08,DPM,-14132405100,-618486
2026-09-08,DXG,-55409484000,-4818216
2026-09-08,EIB,-17470250,-1043
2026-09-08,FPT,64577629400,894427
2026-09-08,FRT,4165330500,29859
2026-09-08,FTS,-178698000,-8216
2026-09-08,GAS,17640697200,209013
2026-09-08,GEX,5119804300,208546
2026-09-08,GMD,-14973525000,-199647
2026-09-08,HAH,-9302100000,-202000
2026-09-08,HCM,29458221500,1111631
2026-09-08,HDB,10755743050,393263
2026-09-08,HDG,-3358305000,-201700
2026-09-08,HPG,26256052500,1201650
2026-09-08,HSG,201877000,19045
2026-09-08,IJC,202774000,28600
2026-09-08,KBC,-3089070000,-114410
2026-09-08,KDH,-16337282400,-949842
2026-09-08,LPB,18987500000,387500
2026-09-08,MBB,409911450,20343
2026-09-08,MBS,297265900,17183
2026-09-08,MCH,19191250600,134581
2026-09-08,MSB,-3883167500,-296425
2026-09-08,MSN,-22257633600,-325404
2026-09-08,MWG,-874902300,-12101
2026-09-08,NAB,-413286200,-36574
2026-09-08,NKG,-109650000,-10200
2026-09-08,NLG,-24681950000,-987278
2026-09-08,NT2,-1118615000,-54700
2026-09-08,NVL,-17449404300,-1352667
2026-09-08,OCB,-17864917400,-1734458
